"","DinEstFE","S2_S3_p","Areas","DinamicaG","Dinamica","EstratoFE","Estrato","n","FE","U","AreasAnualizada","EmisAbs","U_DA","U_FE_DA","Ui2_Ai2"
"329","TF-TF -- BCO/S","MXL/P - BCO/S",2138,"PERMANENCIA","TF-TF","BCO/S","BCO/S",892,0.391621148752684,39.5517373791762,2138,837.286016033238,0,39.5517373791762,1096677179.81746
"330","TF-TF -- BCO/S","BE/S - BCO/S",1271,"PERMANENCIA","TF-TF","BCO/S","BCO/S",892,0.391621148752684,39.5517373791762,1271,497.750480064661,0,39.5517373791762,387573884.662124
"331","TF-TF -- BCO/S","SC/S - BCO/S",545,"PERMANENCIA","TF-TF","BCO/S","BCO/S",892,0.391621148752684,39.5517373791762,545,213.433526070213,0,39.5517373791762,71261737.8732913
"332","TF-TF -- BCO/S","BM/P - BCO/S",16,"PERMANENCIA","TF-TF","BCO/S","BCO/S",892,0.391621148752684,39.5517373791762,16,6.26593838004294,0,39.5517373791762,61419.0889506357
"333","TF-TF -- BCO/S","BCO/S - BCO/S",3843990,"PERMANENCIA","TF-TF","BCO/S","BCO/S",892,0.391621148752684,39.5517373791762,3843990,1505387.77959383,0,39.5517373791762,3545095208027592
"334","TF-TF -- BCO/S","MXL/S - BCO/S",3,"PERMANENCIA","TF-TF","BCO/S","BCO/S",892,0.391621148752684,39.5517373791762,3,1.17486344625805,0,39.5517373791762,2159.26484592079
"335","TF-TF -- BE/P","SC/S - BE/P",1908,"PERMANENCIA","TF-TF","BE/P","BE/P",2613,0.414165677554475,20.4074597724801,1908,790.228112773938,0,20.4074597724801,260065564.023786
"336","TF-TF -- BE/P","MXL/S - BE/P",234,"PERMANENCIA","TF-TF","BE/P","BE/P",2613,0.414165677554475,20.4074597724801,234,96.9147685477471,0,20.4074597724801,3911630.50195976
"337","TF-TF -- BE/P","MXL/P - BE/P",9287,"PERMANENCIA","TF-TF","BE/P","BE/P",2613,0.414165677554475,20.4074597724801,9287,3846.35664744841,0,20.4074597724801,6161365894.59932
"338","TF-TF -- BE/P","SP/P - BE/P",27,"PERMANENCIA","TF-TF","BE/P","BE/P",2613,0.414165677554475,20.4074597724801,27,11.1824732939708,0,20.4074597724801,52077.9208840796
"339","TF-TF -- BE/P","SP/S - BE/P",123,"PERMANENCIA","TF-TF","BE/P","BE/P",2613,0.414165677554475,20.4074597724801,123,50.9423783392004,0,20.4074597724801,1080777.59266837
"340","TF-TF -- BE/P","BM/P - BE/P",64,"PERMANENCIA","TF-TF","BE/P","BE/P",2613,0.414165677554475,20.4074597724801,64,26.5066033634864,0,20.4074597724801,292607.906640864
"341","TF-TF -- BE/P","BCO/S - BE/P",744,"PERMANENCIA","TF-TF","BE/P","BE/P",2613,0.414165677554475,20.4074597724801,744,308.139264100529,0,20.4074597724801,39543215.383388
"342","TF-TF -- BE/P","SC/P - BE/P",6847,"PERMANENCIA","TF-TF","BE/P","BE/P",2613,0.414165677554475,20.4074597724801,6847,2835.79239421549,0,20.4074597724801,3349089586.8809
"343","TF-TF -- BE/P","BE/P - BE/P",10567802,"PERMANENCIA","TF-TF","BE/P","BE/P",2613,0.414165677554475,20.4074597724801,10567802,4376820.87559154,0,20.4074597724801,7978025948547028
"344","TF-TF -- BE/P","SSC/S - BE/P",103,"PERMANENCIA","TF-TF","BE/P","BE/P",2613,0.414165677554475,20.4074597724801,103,42.6590647881109,0,20.4074597724801,757880.195691633
"345","TF-TF -- BE/P","EOTL/S - BE/P",24,"PERMANENCIA","TF-TF","BE/P","BE/P",2613,0.414165677554475,20.4074597724801,24,9.9399762613074,0,20.4074597724801,41147.9868713715
"346","TF-TF -- BE/P","EOTL/P - BE/P",3077,"PERMANENCIA","TF-TF","BE/P","BE/P",2613,0.414165677554475,20.4074597724801,3077,1274.38778983512,0,20.4074597724801,676364962.137288
"347","TF-TF -- BE/P","SSC/P - BE/P",377,"PERMANENCIA","TF-TF","BE/P","BE/P",2613,0.414165677554475,20.4074597724801,377,156.140460438037,0,20.4074597724801,10153337.1979881
"348","TF-TF -- BE/P","BCO/P - BE/P",9452,"PERMANENCIA","TF-TF","BE/P","BE/P",2613,0.414165677554475,20.4074597724801,9452,3914.6939842449,0,20.4074597724801,6382245930.68809
"349","TF-TF -- BE/S","SC/S - BE/S",6363,"PERMANENCIA","TF-TF","BE/S","BE/S",1209,0.466712074177674,24.1103485225096,6363,2969.68892799254,0,24.1103485225096,5126593660.26606
"350","TF-TF -- BE/S","SP/S - BE/S",344,"PERMANENCIA","TF-TF","BE/S","BE/S",1209,0.466712074177674,24.1103485225096,344,160.54895351712,0,24.1103485225096,14983798.8697585
"351","TF-TF -- BE/S","MXL/P - BE/S",725,"PERMANENCIA","TF-TF","BE/S","BE/S",1209,0.466712074177674,24.1103485225096,725,338.366253778814,0,24.1103485225096,66555057.4712415
"352","TF-TF -- BE/S","BCO/P - BE/S",1008,"PERMANENCIA","TF-TF","BE/S","BE/S",1209,0.466712074177674,24.1103485225096,1008,470.445770771095,0,24.1103485225096,128654835.509079
"353","TF-TF -- BE/S","BE/S - BE/S",4808782,"PERMANENCIA","TF-TF","BE/S","BE/S",1209,0.466712074177674,24.1103485225096,4808782,2244316.62148826,0,24.1103485225096,2928028019289826
"354","TF-TF -- BE/S","SSC/S - BE/S",102,"PERMANENCIA","TF-TF","BE/S","BE/S",1209,0.466712074177674,24.1103485225096,102,47.6046315661227,0,24.1103485225096,1317362.79273398
"355","TF-TF -- BE/S","SC/P - BE/S",1236,"PERMANENCIA","TF-TF","BE/S","BE/S",1209,0.466712074177674,24.1103485225096,1236,576.856123683605,0,24.1103485225096,193438088.139997
